Time,Temperature,Humidity,Pressure,Pm2.5,Pm10
22:55:54,46.24,34.37,98.3,49.12,66.52
22:56:14,46.91,39.64,85.83,5.93,4.83
22:56:34,95.48,80.61,57.16,88.51,71.66
22:56:54,69.59,64.17,40.71,1.57,82.29
22:57:14,27.0,74.03,11.91,18.45,71.84
22:57:34,52.5,13.78,79.35,96.79,72.07
22:57:54,87.75,74.59,2.47,15.05,99.06
22:58:14,73.21,46.53,23.55,9.99,62.53
22:58:34,19.61,2.12,26.65,57.5,36.63
22:58:54,47.5,42.48,68.94,68.89,37.67
22:59:14,46.59,88.55,32.02,40.43,26.1
22:59:34,55.33,70.28,37.96,11.29,28.5
22:59:54,2.86,82.82,70.49,24.61,46.66
23:00:14,49.76,79.57,63.87,94.52,95.05
23:00:34,28.96,7.01,14.31,97.75,14.52
23:00:54,42.56,5.69,70.2,11.76,21.57
23:01:14,62.17,29.24,51.11,92.76,62.07
23:01:34,49.77,75.24,89.51,27.4,71.23
23:01:54,28.05,48.77,79.88,10.26,56.75
23:02:14,26.1,96.52,63.13,98.99,47.75
23:02:34,14.92,71.87,53.99,85.73,13.37
23:02:54,85.34,16.88,36.97,43.64,36.75
23:03:14,33.36,24.92,23.74,13.38,28.52
23:03:34,45.85,86.82,25.07,86.17,50.66
23:03:54,0.92,18.13,9.42,10.89,16.16
23:04:14,80.21,15.41,88.93,63.51,63.6
23:04:34,22.41,53.67,93.94,81.87,75.09
23:04:54,86.67,33.1,24.23,73.14,98.81
23:05:14,84.97,86.28,10.21,2.48,78.82
23:05:34,34.9,36.14,97.77,84.07,60.59
23:05:54,5.13,10.99,24.4,64.49,72.47
23:06:14,84.64,26.67,26.79,56.88,72.15
23:06:34,66.69,18.11,87.85,56.56,63.48
23:06:54,13.48,4.46,88.85,24.32,5.97
23:07:14,67.32,20.6,58.09,7.94,85.86
23:07:34,69.71,55.09,0.66,44.97,13.6
23:07:54,48.31,47.34,19.47,46.06,79.63
23:08:14,89.85,91.19,1.59,54.71,35.12
23:08:34,8.99,77.98,93.82,38.19,41.62
23:08:54,75.71,2.23,81.76,1.82,20.77
23:09:14,46.76,10.38,7.26,2.67,28.71
23:09:34,27.88,88.65,0.99,0.13,55.48
23:09:54,25.33,4.21,21.87,68.32,20.28
23:10:14,50.87,47.01,60.49,65.24,37.55
23:10:33,12.53,47.34,22.08,73.71,3.78
23:10:53,28.66,49.49,3.99,27.87,96.46
23:11:13,11.98,3.43,63.0,87.47,4.79
23:11:33,30.24,71.76,34.31,93.96,15.51
23:11:53,6.19,85.0,46.15,26.4,59.46
23:12:13,18.7,49.56,28.08,28.57,16.14
23:12:33,52.99,17.05,38.89,5.69,82.8
23:12:53,9.21,28.58,41.23,5.21,53.75
23:13:13,37.68,23.68,3.54,68.03,19.89
23:13:33,21.76,82.52,30.44,59.84,73.87
23:13:53,78.68,46.98,69.05,15.88,94.86
23:14:13,41.18,30.93,1.75,98.48,63.55
23:14:33,84.62,8.42,12.63,53.98,86.68
23:14:53,78.09,37.4,30.17,59.59,62.16
23:15:13,10.1,53.1,84.11,38.69,11.06
23:15:33,83.52,7.71,19.72,60.68,43.11
23:15:53,88.7,93.22,82.7,27.09,3.9
23:16:13,37.93,16.33,32.29,63.42,85.38
23:16:33,10.24,41.18,67.76,33.07,27.42
23:16:53,81.06,38.26,52.04,43.6,60.71
23:17:13,66.83,0.94,58.73,85.84,33.92
23:17:33,71.31,12.32,70.85,10.33,85.83
23:17:53,50.4,15.95,12.23,24.96,43.67
23:18:13,75.3,53.9,79.35,1.7,1.24
23:18:33,28.77,19.24,35.6,86.32,77.46
23:18:53,78.04,11.05,96.0,70.03,39.9
23:19:13,45.97,88.65,20.42,34.22,53.22
23:19:33,86.85,93.66,25.75,95.68,98.22
23:19:53,78.32,26.25,54.76,89.72,87.31
23:20:13,87.98,95.13,12.72,95.25,39.29
23:20:33,3.84,35.22,46.32,78.23,64.65
23:20:53,92.25,80.81,94.53,5.52,30.59
