Time,Temperature,Humidity,Pressure,Pm2.5,Pm10
00:16:01,20.68,45.06,74.41,37.7,48.59
00:16:02,61.6,69.06,7.48,70.86,7.73
00:16:21,55.73,43.37,24.02,2.52,32.43
00:16:22,89.15,40.23,13.0,8.76,96.14
00:16:41,18.2,64.29,88.12,39.93,77.78
00:16:42,12.33,32.0,80.59,38.39,94.48
00:17:01,98.78,25.25,93.3,61.36,96.44
00:17:02,20.36,52.67,57.43,30.05,11.79
00:20:06,67.34,69.02,89.01,33.94,42.18
00:20:07,28.56,93.53,41.39,88.29,79.83
00:20:26,50.23,61.94,95.35,17.03,10.78
00:20:27,25.19,36.93,54.89,73.47,47.99
00:20:46,40.94,67.38,20.99,9.63,92.88
00:20:47,64.59,89.5,90.14,23.45,83.1
00:21:06,46.43,84.14,47.15,94.32,38.21
00:21:07,7.97,54.55,59.94,48.83,85.2
00:21:26,1.78,33.25,75.17,37.9,94.03
00:21:27,56.47,81.56,77.41,36.63,25.86
00:21:46,27.63,0.16,74.23,85.95,5.01
00:21:47,39.42,58.32,12.23,72.12,18.88
00:22:06,56.95,2.2,17.34,48.84,45.49
00:22:07,33.09,49.58,7.37,28.15,18.22
00:22:26,85.27,93.82,38.8,69.94,90.8
00:22:27,76.26,28.3,94.93,39.55,93.7
00:22:46,5.77,79.43,42.98,63.11,4.95
00:22:47,7.8,61.72,12.56,47.41,4.95
00:23:06,85.57,26.39,74.35,45.74,88.47
00:23:07,87.92,70.29,74.55,79.95,52.89
00:23:26,14.48,95.57,11.04,24.22,24.43
00:23:27,50.19,37.37,37.42,10.42,62.05
00:23:46,76.76,63.94,54.57,63.98,17.26
00:23:47,44.77,34.95,91.46,66.81,89.69
00:24:06,31.35,55.91,9.25,42.19,48.18
00:24:07,66.84,55.09,45.58,37.94,52.23
00:24:26,72.28,36.39,66.32,81.68,21.71
00:24:27,26.09,36.05,27.79,55.99,42.51
00:24:46,73.03,21.74,61.02,56.12,73.44
00:24:47,43.49,65.17,63.53,37.55,63.21
00:25:06,79.78,60.28,0.53,62.36,9.25
00:25:07,47.47,3.38,73.01,18.89,3.4
00:25:26,79.11,57.98,30.37,94.09,13.34
00:25:27,73.55,0.34,75.4,95.18,75.21
00:25:46,31.43,26.2,69.87,87.84,16.32
00:25:47,49.19,90.86,10.0,99.47,35.12
00:26:06,47.2,92.28,41.57,7.03,8.95
00:26:07,13.92,18.99,33.1,59.23,77.39
00:26:26,62.03,30.44,63.34,30.71,28.09
00:26:27,12.97,70.09,12.6,8.94,92.0
00:26:46,99.49,92.34,92.06,91.62,86.88
00:26:47,58.29,81.18,16.83,63.11,93.3
00:27:06,18.67,76.58,50.51,86.86,72.96
00:27:07,45.21,11.19,9.6,58.85,53.27
00:27:26,66.88,81.64,8.82,23.75,64.64
00:27:27,94.79,48.9,43.43,22.92,58.55
00:27:46,76.76,32.72,2.59,69.28,69.08
00:27:47,19.84,61.43,29.12,4.87,18.64
00:28:06,68.69,96.61,24.04,21.29,66.41
00:28:07,63.23,88.86,96.05,8.39,29.64
00:28:26,0.64,99.9,13.1,14.68,9.16
00:28:27,47.66,44.58,73.43,53.74,28.0
00:28:46,61.85,62.19,64.91,11.42,87.28
00:28:47,78.15,18.68,29.14,54.98,29.37
00:29:06,83.37,97.43,54.91,92.78,56.15
00:29:07,92.05,26.88,56.3,40.57,37.24
00:29:26,9.76,36.08,63.62,94.73,57.51
00:29:27,98.22,13.86,3.45,43.37,54.86
00:29:46,95.89,98.74,96.81,30.45,89.66
00:29:47,93.47,64.01,31.19,78.61,69.32
00:30:06,15.09,36.65,50.77,73.13,99.5
00:30:07,83.94,40.31,83.11,50.36,32.28
00:30:26,59.75,1.59,0.0,32.7,15.93
00:30:27,84.45,81.94,43.26,81.86,81.39
00:30:46,88.44,8.03,7.73,41.97,86.08
00:30:47,95.34,74.84,27.98,55.76,21.44
00:31:06,81.29,12.41,11.71,38.98,34.46
00:31:07,16.32,59.09,24.31,22.09,13.71
00:31:26,92.34,70.69,59.99,88.25,48.16
00:31:27,44.27,43.68,85.82,6.2,37.59
00:31:46,47.23,59.33,30.55,65.12,9.91
00:31:47,34.3,39.22,9.4,94.76,58.37
00:32:06,66.75,16.34,63.23,26.09,20.95
00:32:07,21.21,48.04,91.79,6.46,80.41
00:32:26,39.86,33.85,31.6,83.11,37.81
00:32:28,40.12,22.63,68.29,15.87,63.48
00:32:46,82.68,53.0,65.38,14.12,33.19
00:32:48,8.87,77.08,55.68,43.12,68.5
00:33:06,48.5,2.55,54.77,24.26,77.16
00:33:08,24.19,75.45,21.81,13.45,40.9
00:33:26,69.9,87.46,41.62,47.57,70.17
00:33:28,82.74,19.6,36.96,84.59,36.12
00:33:46,52.03,74.65,57.25,85.69,42.18
00:33:48,66.9,78.91,31.61,17.08,26.17
00:34:06,70.39,7.87,77.85,23.23,24.92
00:34:08,33.94,80.91,35.44,17.99,85.58
00:34:26,92.72,43.43,43.77,3.52,75.31
00:34:28,90.99,22.48,79.74,90.32,59.21
00:34:46,88.6,32.78,43.5,46.52,6.26
00:34:48,24.04,9.46,63.66,68.87,3.67
00:35:06,76.67,92.7,48.06,61.46,42.81
00:35:08,59.87,99.15,60.39,89.57,55.92
00:35:26,56.71,3.44,47.06,32.48,12.71
00:35:28,34.09,64.9,46.92,74.34,40.9
00:35:46,2.7,41.49,20.5,4.99,72.67
00:35:48,2.39,48.92,51.53,30.01,23.64
00:36:06,40.93,68.48,72.37,56.83,2.11
00:36:08,75.33,19.78,42.71,50.87,78.43
00:36:26,3.35,65.55,78.73,31.02,99.96
00:36:28,29.77,13.79,68.24,44.06,20.14
00:36:46,11.06,74.56,47.92,10.19,59.49
00:36:48,86.35,83.63,56.63,99.4,84.88
00:37:06,46.87,41.62,54.01,85.04,36.95
00:37:08,91.03,61.79,14.87,30.92,6.91
00:37:26,24.03,85.02,35.94,93.04,13.14
00:37:28,66.0,18.79,89.83,98.98,37.89
00:37:46,8.41,19.55,68.32,85.98,8.65
